transaction_id,client_id,commercial_id,date_transaction,region,ville,segment_client,age_client,anciennete_client_annees,canal_acquisition,campagne_marketing,cout_acquisition_eur,categorie_produit,produit,nb_licences,montant_brut_eur,remise_pct,montant_net_eur,nb_contacts_avant_vente,duree_cycle_vente_jours,taux_conversion_pct,score_satisfaction,nps_score,taux_utilisation_pct,nb_tickets_support,uptime_pct,churn,statut_renouvellement
TXN-00001,CLI-6104,COM-149,2021-08-17,Auvergne-Rhône-Alpes,Grenoble,TPE,58,3,Commercial Terrain,Email Campaign,9.44,Infrastructure Cloud,Cloud Enterprise,9,3179.05,20.5,2527.34,1,1,14.9,10.0,-12,63.3,4,99.43,0,Renouvelé
TXN-00002,CLI-3646,COM-136,2021-02-21,Normandie,Rouen,TPE,37,1,Digital,LinkedIn Ads,433.8,Data & BI,ML Platform,10,4516.19,6.0,4245.22,5,106,55.6,5.9,53,56.9,0,97.49,0,Non renouvelé
TXN-00003,CLI-1633,COM-102,2022-07-18,Hauts-de-France,Roubaix,Particulier,28,2,Digital,LinkedIn Ads,192.3,Logiciels SaaS,HR Manager,1,2366.53,2.0,2319.2,3,12,31.3,4.3,44,88.0,4,99.77,0,Renouvelé
TXN-00004,CLI-3466,COM-107,2022-05-17,Occitanie,Montpellier,PME,39,5,Téléphonie,Google Ads,94.9,Infrastructure Cloud,Hybrid Connect,12,7985.16,2.7,7769.56,4,32,19.0,6.8,8,59.6,0,98.32,0,Renouvelé
TXN-00005,CLI-9677,COM-135,2022-04-03,Île-de-France,Boulogne-Billancourt,Particulier,31,0,Commercial Terrain,SEO Organique,19.34,Infrastructure Cloud,Cloud Enterprise,1,1950.32,3.5,1882.06,5,5,51.7,5.2,43,53.7,4,98.91,0,Renouvelé
TXN-00006,CLI-7835,COM-156,2021-10-13,Île-de-France,Paris,Grand Compte,30,0,Partenaire Revendeur,SEO Organique,28.56,Logiciels SaaS,Collaboration Suite,210,5745.1,3.3,5555.51,2,24,7.4,8.2,83,74.1,1,98.99,0,Upsell
TXN-00007,CLI-7832,COM-137,2021-07-29,Île-de-France,Montreuil,Startup,43,2,Digital,Google Ads,491.22,Logiciels SaaS,ERP Cloud,17,5229.48,7.2,4852.96,7,84,41.8,8.1,36,43.2,0,98.16,0,Renouvelé
TXN-00008,CLI-2950,COM-166,2021-06-28,Bretagne,Rennes,Particulier,18,3,Téléphonie,LinkedIn Ads,240.03,Infrastructure Cloud,Cloud Starter,1,1058.7,11.7,934.83,3,36,32.2,7.0,20,50.5,0,99.48,0,Renouvelé
TXN-00009,CLI-7622,COM-151,2023-05-15,Occitanie,Toulouse,PME,20,0,Partenaire Revendeur,Email Campaign,48.32,Data & BI,ML Platform,40,16357.13,10.2,14688.7,2,18,66.8,7.9,10,76.4,4,99.24,0,Renouvelé
TXN-00010,CLI-9917,COM-159,2021-03-07,Hauts-de-France,Dunkerque,TPE,38,4,Partenaire Revendeur,SEO Organique,20.33,Data & BI,DataViz Pro,1,8313.75,15.0,7066.69,7,76,21.8,5.3,89,36.2,2,98.14,0,Renouvelé
